timestamp,value,status
2025-08-15T05:32:09.286917,1220,FULL
2025-08-15T05:32:10.371616,1220,FULL
2025-08-15T05:32:11.438765,1220,FULL
2025-08-15T05:32:12.533023,1220,FULL
2025-08-15T05:32:13.623073,1220,FULL
2025-08-15T05:32:14.709106,1220,FULL
2025-08-15T05:32:15.792184,1220,FULL
2025-08-15T05:32:16.864072,1220,FULL
2025-08-15T05:32:17.947042,1220,FULL
2025-08-15T05:32:19.034814,1220,FULL
2025-08-15T05:32:20.123033,1220,FULL
2025-08-15T05:32:21.203311,1220,FULL
2025-08-15T05:32:22.285651,1220,FULL
2025-08-15T05:32:23.371978,1220,FULL
2025-08-15T05:32:24.460561,1220,FULL
2025-08-15T05:32:25.554953,1220,FULL
2025-08-15T05:32:26.641668,1220,FULL
2025-08-15T05:32:27.721397,1220,FULL
2025-08-15T05:32:28.802539,1220,FULL
2025-08-15T05:32:29.884772,1220,FULL
2025-08-15T05:32:30.964669,1220,FULL
2025-08-15T05:32:32.042435,1220,FULL
2025-08-15T05:32:33.133503,1220,FULL
2025-08-15T05:32:34.224732,1220,FULL
2025-08-15T05:32:35.313264,1220,FULL
2025-08-15T05:32:36.405145,1220,FULL
2025-08-15T05:32:37.485965,1220,FULL
2025-08-15T05:32:38.571980,1831,FULL
2025-08-15T05:32:39.650560,1831,FULL
2025-08-15T05:32:40.735077,1831,FULL
2025-08-15T05:32:41.824670,1831,FULL
2025-08-15T05:32:42.906191,1831,FULL
2025-08-15T05:32:43.980278,1831,FULL
2025-08-15T05:32:45.075088,1831,FULL
2025-08-15T05:32:46.164925,1831,FULL
2025-08-15T05:32:47.247869,1831,FULL
2025-08-15T05:32:48.333477,1831,FULL
2025-08-15T05:32:49.421238,1831,FULL
2025-08-15T05:32:50.518152,1831,FULL
2025-08-15T05:32:51.612798,1831,FULL
2025-08-15T05:32:52.702949,1831,FULL
2025-08-15T05:32:53.789111,2746,FULL
2025-08-15T05:32:54.874678,2746,FULL
2025-08-15T05:32:55.972690,2746,FULL
2025-08-15T05:32:57.061184,2746,FULL
2025-08-15T05:32:58.146544,2746,FULL
2025-08-15T05:32:59.228109,2746,FULL
2025-08-15T05:33:00.308956,2746,FULL
2025-08-15T05:33:01.397248,2746,FULL
2025-08-15T05:33:02.490163,2746,FULL
2025-08-15T05:33:03.537597,2746,FULL
2025-08-15T05:33:04.638100,2746,FULL
2025-08-15T05:33:05.721918,2746,FULL
2025-08-15T05:33:06.810125,2746,FULL
2025-08-15T05:33:07.880649,2746,FULL
2025-08-15T05:33:08.972912,2746,FULL
2025-08-15T05:33:10.043574,1831,FULL
2025-08-15T05:33:11.126902,1831,FULL
2025-08-15T05:33:12.203347,1831,FULL
2025-08-15T05:33:13.287760,1831,FULL
2025-08-15T05:33:14.355550,1831,FULL
2025-08-15T05:33:15.454924,1831,FULL
2025-08-15T05:33:16.544915,1831,FULL
2025-08-15T05:33:17.628718,1831,FULL
2025-08-15T05:33:18.693550,1831,FULL
2025-08-15T05:33:19.782706,1831,FULL
2025-08-15T05:33:20.878057,1831,FULL
2025-08-15T05:33:21.974149,1831,FULL
2025-08-15T05:33:23.061871,1831,FULL
2025-08-15T05:33:24.150523,1831,FULL
2025-08-15T05:33:25.234921,1831,FULL
2025-08-15T05:33:26.319745,1831,FULL
2025-08-15T05:33:27.412266,1831,FULL
2025-08-15T05:33:28.515838,1831,FULL
